id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
harford-md-overture-0a57d463,Harford Family House,shelter,"421 S Union Ave, Havre de Grace",39.507972717285156,-76.16004943847656,+14102736700,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/harfordfamilyhouse
harford-md-overture-f57d851a,Anna's House,shelter,"607 N Tollgate Rd, Bel Air",39.52716064453125,-76.36969757080078,4108032130,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.catholiccharities-md.org/annas-house/
harford-md-overture-43866f2f,Sharing Table-presby United Methodist Church - Food Distribution Center,meal,"2600 Willoughby Beach Rd, Edgewood",39.42768096923828,-76.28453063964844,14106766496,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://sharingtable.org
harford-md-overture-5b59d11c,St. John's Cupboard,meal,"114 Union Ave N, Havre de Grace",39.547969818115234,-76.09201049804688,+16672010236,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
