id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
st-clair-il-overture-9093db12,Community Interfaith Food Pantry,meal,"1218 W Main St, Belleville",38.51601791381836,-89.99893951416016,+16183559199,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.feedbelleville.org/
st-clair-il-overture-1c6943db,Catholic Urban Programs - Food Distribution Center,meal,"7 Vieux Carre Dr, East St Louis",38.59507751464844,-90.05567169189453,+16183985616,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.catholicurbanprograms.org/
st-clair-il-overture-86866780,Shelter Shop,shelter,"19 Bellevue Park Plaza, Belleville",38.543190002441406,-90.02386474609375,+16182344704,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.vpcswi.org/sheltershop
st-clair-il-overture-682332db,O'Fallon Community Food Pantry,meal,"801 E State St, O'Fallon",38.591575622558594,-89.89523315429688,+16186247040,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://ofallontownship.org/services/food-pantry/
st-clair-il-overture-a5dbe9a6,Smithton Food Pantry,meal,"103 S East St, Smithton",38.40773391723633,-89.98780059814453,+16185317428,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
st-clair-il-overture-48ae800f,Fairview Heights Area Food,meal,"10025 Bunkum Rd, Fairview Heights",38.59770202636719,-90.01148223876953,+16183980292,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://86dda9a1-6d0a-4d5d-ac31-649b263d5074.paylinks.godaddy.com/7d5c151b-576b-40e2-b46b-a22
st-clair-il-overture-d6e7e1a8,Marissa Giving Garden,meal,"307 N Main St, Marissa",38.24778366088867,-89.7544937133789,+16189777479,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
