id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
grand-traverse-mi-overture-267706f2,Jubilee House,shelter,"325 Washington St, Traverse City",44.7618408203125,-85.61703491210938,+12319473305,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.gracetraversecity.org
grand-traverse-mi-overture-ac0f7747,Project Feed The Kids,meal,"1081 W South Airport Rd, Traverse City",44.73285675048828,-85.59674835205078,+12314097777,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://Www.projectfeedthekidstc.org/
grand-traverse-mi-overture-0ef173ac,Goodwill Inn,shelter,"2943 Keystone Rd N, Traverse City",44.728431701660156,-85.61402893066406,2319224890,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.goodwillnmi.org/goodwillinn
grand-traverse-mi-overture-0480014b,Safe Harbor of Grand Traverse,shelter,"517 Wellington St, Traverse City",44.758548736572266,-85.61321258544922,+18449000500,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://gtsafeharbor.org/
grand-traverse-mi-overture-ade8b67a,Christ Church Food Pantry And Meal Site - Food Distribution Center,meal,"430 Fair St, Traverse City",44.75956726074219,-85.58951568603516,12319469451,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: northwestmifoodcoalition.org
