id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
henrico-va-overture-1dd25893,Gayton Care Ministries,meal,"13501 N Gayton Rd, Henrico",37.650291442871094,-77.63703155517578,+18045259520,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://gayton.church/careministries
henrico-va-overture-e383a5d8,Lamb's Basket,meal,"8419 Oakview Ave, Henrico",37.628822326660156,-77.50072479248047,+18045658007,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.lambsbasket.org
henrico-va-overture-88f372aa,We Got This LLC,shelter,"23 Chase Gayton Dr Ste 621, Henrico",37.60865020751953,-77.58985137939453,8042480065,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
henrico-va-overture-e31fe518,Housing Families First Hilliard House,shelter,"3900 Nine Mile Rd, Richmond",37.54195785522461,-77.38150024414062,+18042365800,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.housingfamiliesfirst.org/
henrico-va-overture-3e9c1dd7,Welbourne Community Food Pantry,meal,"920 Maybeury Dr, Henrico",37.594417572021484,-77.58439636230469,+18047407128,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://welbornechurch.org/programs/missions/food-box/
henrico-va-overture-fa37f6d3,The Sophie House,meal,"4771 Shady Grove Rd, Glen Allen",37.67304229736328,-77.61251068115234,8046585214,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://thesophiehouse.org/
henrico-va-overture-73ef24fb,Feed More,meal,"8020 Villa Park Dr, Henrico",37.631717681884766,-77.47039031982422,+18045212500,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://FeedMore.org/
