id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
pinal-az-overture-d9e42839,The Salvation Army Apache Junction Corps Community Center,shelter,"605 E Broadway Ave, Apache Junction",33.407474517822266,-111.53936767578125,+14809824110,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://satruck.org/
pinal-az-overture-64aaf57d,F.O.R. Maricopa Food Bank,meal,"19428 N Maricopa Rd, Maricopa",33.05609893798828,-112.04869842529297,+15202510226,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.formaricopa.org/
pinal-az-overture-3240c877,Maricopa Pantry Inc.,meal,"50881 W Papago Rd, Maricopa",32.98520278930664,-112.11473846435547,+15207093076,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.maricopapantry.org/
pinal-az-overture-04e47f81,Santa Cruz Valley Food Pantry,meal,"109 N Sunshine Blvd, Eloy",32.75057601928711,-111.55011749267578,+15204661112,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
pinal-az-overture-e84ea8f4,Casa Grande Food Bank,meal,"235 E 4th St, Casa Grande",32.877986907958984,-111.75141143798828,+15208362009,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.azfoodbanks.org
pinal-az-overture-6063e9ea,Hope International Food Pantry,meal,"1280 N Arizona Blvd, Coolidge",32.990421295166016,-111.52422332763672,+15202336699,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.hopeinternationalfoodpantry.org/
pinal-az-overture-42b58bc7,Superstition Community Food Bank,meal,"575 N Idaho Rd #701, Apache Junction",33.42134475708008,-111.54412841796875,+14809832995,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.superstitionfoodbank.org/donate/
